name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF18abvmlow,SN2018lcd,01:51:10.65,-03:29:24.9,487.65,g,16.4338,-16.05,57.515,4.538,52.977,SN II,0.007,-62.38572354,0.079
ZTF18abvrzqj,SN2018gub,01:09:19.26,-15:35:41.2,388.86,g,18.9514,-19.45,>10.26,10.26,>0,SN Ia,0.105,-77.74158553,0.069
ZTF18abvxqtp,SN2018gsm,23:57:28.83,-06:36:13.7,390.77,r,18.427,-19.17,>10.744,10.714,>0.03,SN Ia,0.073,-65.80184523,0.094
ZTF18abwbaim,SN2018gwx,03:33:25.99,-18:50:08.0,389.9,g,18.9669,-19.55,>10.562,10.562,>0,SN Ia,0.10762,-51.97467804,0.119
ZTF18abxhaop,SN2021zdp,02:13:53.32,-18:09:29.3,1471.88,g,18.0239,-19.16,17.34,9.808,7.532,SN Ia,0.05980,-69.00814535,0.086
ZTF18abzzkyg,SN2022aakg,03:11:47.54,-15:46:07.1,1910.72,g,18.4256,-19.57,23.436,11.946,11.49,SN Ia,0.085,-55.56361312,0.118
ZTF18acaezsx,SN2023szc,23:52:52.34,-23:19:56.3,2212.79,g,17.6258,-19.18,20.056,8.016,12.04,SN Ia,0.05118,-76.2323168,0.062
ZTF18acbudzh,SN2018hka,00:39:20.07,-10:28:44.3,422.82,r,17.9489,-18.15,17.954,9.045,8.909,SN Ia,0.037,-73.10840759,0.089
ZTF18acbudzo,SN2018hkb,01:02:38.40,-06:23:33.3,422.82,r,18.3307,-18.34,16.652,12.438,4.214,SN Ia,0.044,-69.09414403,0.327
ZTF18acbvahw,SN2018hjx,03:24:55.57,-02:49:20.0,422.83,r,17.8295,-16.98,21.487,6.453,15.034,SN Ib,0.02,-46.00098576,0.156
